sale.date,sales.rep,rep.sex,rep.region,rep.feedback,wine,type,cost,unit.price,units.sold,income,expenses,year
1/1/2010,Clement Arias,1,North,4,Riesling,white,2.097,7.94,13,103.22,4.22,2010
1/1/2010,Deloras Mcfetridge,0,West,7,Riesling,white,2.097,6.99,12,83.88,4.5594,2010
1/2/2010,Lolita Wass,0,Central,6,Pinot Gris,white,3.741,12.04,19,228.76,7.54,2010
1/2/2010,Nilda Hypolite,0,Central,6,Riesling,white,2.097,6.56,18,118.08,4.76,2010
1/2/2010,Yolando Galicia,0,North,6,Chardonnay,white,3.15,11.45,19,217.55,6.55,2010
1/2/2010,Yolando Galicia,0,North,5,Pinot Gris,white,3.741,13.42,19,254.98,8.28,2010
1/2/2010,Jewel Copas,1,South,6,Cabernet Sauvignon,red,3.624,11.96,15,179.4,6.1845,2010
1/2/2010,Deloras Mcfetridge,0,West,5,Merlot,red,2.229,7.43,10,74.3,4.131,2010
1/3/2010,Aiko Hamsher,0,East,7,Pinot Gris,white,3.741,12.47,21,261.87,6.783,2010
1/3/2010,Aiko Hamsher,0,East,6,Riesling,white,2.097,6.99,24,167.76,5.4495,2010
1/3/2010,Aiko Hamsher,0,East,7,Sauvignon Blanc,white,2.697,8.99,8,71.92,5.0715,2010
1/3/2010,Ben Gerry,1,East,6,Sauvignon Blanc,white,2.697,8.99,16,143.84,5.544,2010
1/3/2010,Lesia Belt,0,West,7,Sauvignon Blanc,white,2.697,8.99,14,125.86,5.5182,2010
1/4/2010,Ben Gerry,1,East,6,Merlot,red,2.229,7.43,20,148.6,5.124,2010
1/4/2010,Kym Velarde,0,East,6,Chardonnay,white,3.15,10.5,26,273,7.35,2010
1/4/2010,Kym Velarde,0,East,6,Sauvignon Blanc,white,2.697,8.99,21,188.79,6.7515,2010
1/4/2010,Clement Arias,1,North,6,Merlot,red,2.229,8.38,17,142.46,4.98,2010
1/4/2010,Eura Begay,0,North,6,Cabernet Sauvignon,red,3.624,13.03,18,234.54,6.43,2010
1/4/2010,Deloras Mcfetridge,0,West,7,Cabernet Sauvignon,red,3.624,12.08,29,350.32,7.3134,2010
1/4/2010,Lesia Belt,0,West,6,Riesling,white,2.097,6.99,10,69.9,3.8964,2010
1/5/2010,Lolita Wass,0,Central,5,Pinot Gris,white,3.741,12.04,13,156.52,6.78,2010
1/5/2010,Aiko Hamsher,0,East,4,Riesling,white,2.097,6.99,11,76.89,4.746,2010
